algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns
binaria,1000,ausente,4,10,22864
lineal,1000,ausente,5,1000,94842
binaria,1000,ausente,5,10,22684
lineal,1000,ausente,6,1000,106589
binaria,1000,ausente,6,10,22977
lineal,1000,ausente,7,1000,95136
binaria,1000,ausente,7,10,22852
lineal,1000,ausente,8,1000,99658
binaria,1000,ausente,8,10,22858
lineal,1000,ausente,9,1000,95066
binaria,1000,ausente,9,10,22735
lineal,1000,ausente,10,1000,94290
binaria,1000,ausente,10,10,22784
lineal,1000,ausente,11,1000,94860
binaria,1000,ausente,11,10,22737
lineal,1000,ausente,12,1000,94299
binaria,1000,ausente,12,10,22834
lineal,1000,ausente,13,1000,98448
binaria,1000,ausente,13,10,22860
lineal,1000,ausente,14,1000,94958
binaria,1000,ausente,14,10,29194
lineal,1000,ausente,15,1000,94500
binaria,1000,ausente,15,10,22934
lineal,1000,ausente,16,1000,94738
binaria,1000,ausente,16,10,31023
lineal,1000,ausente,17,1000,98339
binaria,1000,ausente,17,10,22778
lineal,1000,ausente,18,1000,95143
binaria,1000,ausente,18,10,22737
lineal,1000,ausente,19,1000,95224
binaria,1000,ausente,19,10,22733
lineal,1000,ausente,20,1000,94936
binaria,1000,ausente,20,10,22711
lineal,1000,ausente,21,1000,94920
binaria,1000,ausente,21,10,22825
lineal,1000,ausente,22,1000,95904
binaria,1000,ausente,22,10,22795
lineal,1000,ausente,23,1000,101409
binaria,1000,ausente,23,10,22867
lineal,1000,ausente,24,1000,95303
binaria,1000,ausente,24,10,22710
lineal,1000,ausente,25,1000,98704
binaria,1000,ausente,25,10,22763
lineal,1000,ausente,26,1000,97715
binaria,1000,ausente,26,10,22903
lineal,1000,ausente,27,1000,95073
binaria,1000,ausente,27,10,22761
lineal,1000,ausente,28,1000,94860
binaria,1000,ausente,28,10,22790
lineal,1000,ausente,29,1000,95345
binaria,1000,ausente,29,10,22796
lineal,10000,inicio,0,1268,356889
binaria,10000,inicio,0,12,209837
lineal,10000,inicio,1,1268,302616
binaria,10000,inicio,1,12,216836
lineal,10000,inicio,2,1268,329967
binaria,10000,inicio,2,12,206775
lineal,10000,inicio,3,1268,313805
binaria,10000,inicio,3,12,216451
lineal,10000,inicio,4,1268,300153
binaria,10000,inicio,4,12,206137
lineal,10000,inicio,5,1268,308671
binaria,10000,inicio,5,12,211152
lineal,10000,inicio,6,1268,308564
binaria,10000,inicio,6,12,205790
lineal,10000,inicio,7,1268,307947
binaria,10000,inicio,7,12,211701
lineal,10000,inicio,8,1268,302156
binaria,10000,inicio,8,12,206327
lineal,10000,inicio,9,1268,310774
binaria,10000,inicio,9,12,217071
lineal,10000,inicio,10,1268,301077
binaria,10000,inicio,10,12,205615
lineal,10000,inicio,11,1268,326415
binaria,10000,inicio,11,12,223393
lineal,10000,inicio,12,1268,303143
binaria,10000,inicio,12,12,206479
lineal,10000,inicio,13,1268,315356
binaria,10000,inicio,13,12,206482
lineal,10000,inicio,14,1268,299592
binaria,10000,inicio,14,12,205544
lineal,10000,inicio,15,1268,346659
binaria,10000,inicio,15,12,207014
lineal,10000,inicio,16,1268,329779
binaria,10000,inicio,16,12,227126
lineal,10000,inicio,17,1268,309680
binaria,10000,inicio,17,12,205643
lineal,10000,inicio,18,1268,308461
binaria,10000,inicio,18,12,213507
lineal,10000,inicio,19,1268,315349
binaria,10000,inicio,19,12,206119
lineal,10000,inicio,20,1268,300274
binaria,10000,inicio,20,12,226605
lineal,10000,inicio,21,1268,326450
binaria,10000,inicio,21,12,208703
lineal,10000,inicio,22,1268,309005
binaria,10000,inicio,22,12,214292
lineal,10000,inicio,23,1268,300230
binaria,10000,inicio,23,12,205824
lineal,10000,inicio,24,1268,310984
binaria,10000,inicio,24,12,218193
lineal,10000,inicio,25,1268,347554
binaria,10000,inicio,25,12,208271
lineal,10000,inicio,26,1268,314756
binaria,10000,inicio,26,12,211698
lineal,10000,inicio,27,1268,299921
binaria,10000,inicio,27,12,209161
lineal,10000,inicio,28,1268,307793
binaria,10000,inicio,28,12,212751
lineal,10000,inicio,29,1268,299714
binaria,10000,inicio,29,12,206004
lineal,10000,centro,0,8695,1056341
binaria,10000,centro,0,13,229834
lineal,10000,centro,1,8695,923168
binaria,10000,centro,1,13,211123
lineal,10000,centro,2,8695,917659
binaria,10000,centro,2,13,210664
lineal,10000,centro,3,8695,937048
binaria,10000,centro,3,13,206932
lineal,10000,centro,4,8695,928195
binaria,10000,centro,4,13,210714
lineal,10000,centro,5,8695,937553
binaria,10000,centro,5,13,207127
lineal,10000,centro,6,8695,925648
binaria,10000,centro,6,13,213994
lineal,10000,centro,7,8695,975958
binaria,10000,centro,7,13,232202
lineal,10000,centro,8,8695,952108
binaria,10000,centro,8,13,218819
lineal,10000,centro,9,8695,921101
binaria,10000,centro,9,13,207126
lineal,10000,centro,10,8695,918054
binaria,10000,centro,10,13,215564
lineal,10000,centro,11,8695,919934
binaria,10000,centro,11,13,207171
lineal,10000,centro,12,8695,914897
binaria,10000,centro,12,13,211507
lineal,10000,centro,13,8695,931642
binaria,10000,centro,13,13,214407
lineal,10000,centro,14,8695,924816
binaria,10000,centro,14,13,217263
lineal,10000,centro,15,8695,914693
binaria,10000,centro,15,13,210798
lineal,10000,centro,16,8695,926195
